Sector,Reef,Tows,Previous survey year,Total A. Solaris per reef,A. Solaris per tow,A. Solaris Outbreak Status,Live Hard Coral Cover %,Report Year
TO,John Brewer Reef,80,2022,0,0,NO,23.3,2023
TO,Kelso Reef,60,2022,0,0,NO,34.7,2023
TO,Little Kelso Reef,34,2021,1,0.03,NO,25.7,2023
TO,Myrmidon Reef,47,2022,0,0,NO,49.5,2023
TO,Rib Reef,31,2022,0,0,NO,22.2,2023
TO,Roxburgh Reef,25,2020,0,0,NO,32.1,2023
TO,Wheeler Reef,25,2021,0,0,NO,65.7,2023
WH,Border Island,66,2022,0,0,NO,11.3,2023
WH,Hardy Reef,131,2022,1,0.01,NO,35.1,2023
WH,Hayman Island,39,2022,0,0,NO,15.2,2023
WH,Hyde Reef,50,2022,0,0,NO,54.9,2023
WH,Langford and Bird Isles,32,2021,0,0,NO,14.2,2023
WH,Rebe Reef,37,2022,0,0,NO,61.6,2023
WH,Reef 19-131,52,2022,0,0,NO,25.5,2023
WH,Reef 19-138,28,2022,0,0,NO,19.9,2023
WH,Reef 20-104,28,2022,0,0,NO,15.7,2023
WH,Slate Reef,38,2022,0,0,NO,61.9,2023
