"report_year","zone","coral_cover","sd","reef_count","ci"
2015,"south",28.5761538461538,10.2175208493887,13,5.55430760368944
2016,"central",22.3687777777778,11.153776526131,27,4.20722877483055
2016,"south",30.16572,12.3100117909502,25,4.82552462205248
2017,"central",22.9488,9.089488689431,35,3.0113518553583
2017,"north",19.0759375,17.3630663653881,32,6.01599556488741
2017,"south",36.7054375,11.4123040266124,16,5.59202897304007
2018,"central",14.7354166666667,9.36541128378742,24,3.74694488317524
2018,"south",30.5208846153846,15.8039375633465,26,6.07483802358181
2019,"central",14.5307692307692,8.56189199328136,26,3.29108532769809
2019,"north",20.9090769230769,14.6218625104275,26,5.62046300157123
2019,"south",29.8301666666667,19.1467293614973,12,10.8332819639422
2020,"central",16.2822424242424,10.7626742872947,33,3.67214057902396
2020,"north",23.2135,17.9509700022032,26,6.90013072327461
2020,"south",31.4168888888889,16.9461510227892,27,6.39212503842713
2021,"central",26.7160188679245,14.424107124067,53,3.88335483847557
2021,"north",27.4944444444444,14.8199379530016,54,3.95280669827437
2021,"south",42.0918,19.3420331446418,20,8.47701978315671
2022,"central",33.1578787878788,13.6629073812951,33,4.66167750533228
2022,"north",39.3974615384615,19.52114312069,26,7.50368583892577
2022,"south",34.5188214285714,21.5877977743148,28,7.99623219701467
2023,"central",30.5026315789474,15.1350405465953,38,4.81224646122719
2023,"north",35.6634146341463,14.6405559337335,41,4.48148256477097
2023,"south",35.3032258064516,16.8148046647583,31,5.91925501785688
